# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1618425709380,6086656,7421952,31,15
1618425710646,6086656,7421952,31,15
1618425711895,6086656,7421952,31,15
1618425713148,6086656,7421952,31,15
1618425714428,6086656,7421952,31,15
1618425715753,6086656,7421952,31,15
1618425717026,6086656,7421952,31,15
1618425718278,6086656,7421952,31,15
1618425719573,6086656,7421952,46,15
1618425720859,6086656,7421952,46,15
1618425722145,6086656,7421952,46,15
1618425723649,6086656,7421952,46,15
1618425724925,6086656,7421952,46,15
1618425726166,6086656,7421952,46,15
1618425727564,6086656,7421952,46,15
1618425728843,6086656,7421952,46,15
1618425730295,6086656,7421952,46,15
1618425731711,6086656,7421952,46,15
1618425733058,6086656,7421952,46,15
1618425734312,6086656,7421952,46,15
1618425735593,6086656,7421952,46,15
1618425736862,6086656,7421952,46,15
1618425738270,6053888,7344128,46,15
1618425739486,6053888,7344128,46,15
1618425740770,6053888,7344128,46,15
1618425742063,6053888,7344128,46,15
1618425743341,6053888,7344128,46,15
1618425744684,6053888,7344128,46,15
1618425745938,6053888,7344128,46,15
1618425747162,6053888,7344128,46,15
1618425748426,6053888,7344128,46,15
1618425749660,6053888,7344128,46,15
1618425750921,6053888,7344128,46,15
1618425752171,6053888,7344128,46,15
1618425753433,6053888,7344128,46,15
1618425754691,6053888,7344128,46,15
1618425755947,6053888,7344128,46,15
1618425757190,6053888,7344128,46,15
1618425758434,6053888,7344128,46,15
1618425759771,6053888,7344128,46,15
1618425761009,6053888,7344128,46,15
1618425762236,6053888,7344128,46,15
1618425763481,6053888,7344128,46,15
1618425764713,6053888,7344128,46,15
1618425765974,6053888,7344128,46,15
1618425767224,6053888,7344128,46,15
1618425768493,6053888,7344128,46,15
1618425769786,6053888,7344128,46,15
1618425771079,6053888,7344128,46,15
1618425772346,6053888,7344128,46,15
1618425773602,6053888,7344128,46,15
1618425774821,6053888,7344128,46,15
1618425776054,6053888,7344128,46,15
1618425777284,6053888,7344128,46,15
1618425778527,6053888,7344128,46,15
1618425779732,6053888,7344128,46,15
1618425780997,6053888,7344128,46,15
