# timestamp,line
1618425081432,About to produce siggen/room2/rhum
1618425081432,About to produce siggen/room1/rhum
1618425081432,About to produce siggen/room1/temp
1618425081432,About to produce siggen/room2/temp
1618425082436,1618425082432446976-19.30
1618425082436,1618425082432446976-20.00
1618425082436,1618425082432446976-50.00
1618425082436,1618425082432446976-61.70
1618425083435,1618425083432446976-59.40
1618425083435,1618425083432446976-20.50
1618425083435,1618425083432446976-19.70
1618425083435,1618425083432446976-55.30
1618425084439,1618425084432446976-19.50
1618425084439,1618425084432446976-63.10
1618425084439,1618425084432446976-21.00
1618425084439,1618425084432446976-58.80
1618425085445,1618425085432446976-21.50
1618425085445,1618425085432446976-56.30
1618425085445,1618425085432446976-65.60
1618425085445,1618425085432446976-20.60
1618425086445,1618425086432446976-20.40
1618425086445,1618425086432446976-77.20
1618425086445,1618425086432446976-63.50
1618425086445,1618425086432446976-22.00
1618425087438,1618425087432446976-62.20
1618425087438,1618425087432446976-76.80
1618425087438,1618425087432446976-23.70
1618425087438,1618425087432446976-22.50
1618425088442,1618425088432446976-68.10
1618425088442,1618425088432446976-23.00
1618425088442,1618425088432446976-22.00
1618425088442,1618425088432446976-84.90
1618425089437,1618425089432446976-24.20
1618425089437,1618425089432446976-73.60
1618425089437,1618425089432446976-81.00
1618425089437,1618425089432446976-24.50
1618425090435,1618425090432446976-89.70
1618425090435,1618425090432446976-24.30
1618425090435,1618425090432446976-26.10
1618425090436,1618425090432446976-72.90
1618425091442,1618425091432446976-22.70
1618425091442,1618425091432446976-76.40
1618425091442,1618425091432446976-25.30
1618425091442,1618425091432446976-93.30
1618425092443,1618425092432446976-24.80
1618425092443,1618425092432446976-19.90
1618425092443,1618425092432446976-78.70
1618425092443,1618425092432446976-74.80
1618425093444,1618425093432446976-59.40
1618425093445,1618425093432446976-22.90
1618425093445,1618425093432446976-74.30
1618425093445,1618425093432446976-17.30
1618425094443,1618425094432446976-61.70
1618425094443,1618425094432446976-50.00
1618425094443,1618425094432446976-20.00
1618425094443,1618425094432446976-19.30
1618425095437,1618425095432446976-20.50
1618425095437,1618425095432446976-19.70
1618425095437,1618425095432446976-59.40
1618425095437,1618425095432446976-55.30
1618425096435,1618425096432446976-58.80
1618425096435,1618425096432446976-19.50
1618425096436,1618425096432446976-21.00
1618425096436,1618425096432446976-63.10
1618425097445,1618425097432446976-56.30
1618425097445,1618425097432446976-65.60
1618425097445,1618425097432446976-20.60
1618425097445,1618425097432446976-21.50
1618425098443,1618425098432446976-63.50
1618425098443,1618425098432446976-77.20
1618425098443,1618425098432446976-22.00
1618425098444,1618425098432446976-20.40
1618425099440,1618425099432446976-62.20
1618425099440,1618425099432446976-76.80
1618425099440,1618425099432446976-22.50
1618425099440,1618425099432446976-23.70
1618425100435,1618425100432446976-22.00
1618425100435,1618425100432446976-23.00
1618425100435,1618425100432446976-68.10
1618425100435,1618425100432446976-84.90
1618425101447,1618425101432446976-24.50
1618425101447,1618425101432446976-24.20
1618425101447,1618425101432446976-81.00
1618425101447,1618425101432446976-73.60
