# timestamp,line
1619544628473,About to produce siggen/room2/rhum
1619544628474,About to produce siggen/room1/temp
1619544628474,About to produce siggen/room1/rhum
1619544628474,About to produce siggen/room2/temp
1619544629476,1619544629473379072-61.70
1619544629476,1619544629473379072-20.00
1619544629476,1619544629473379072-50.00
1619544629476,1619544629473379072-19.30
1619544630477,1619544630473379072-19.70
1619544630477,1619544630473379072-55.30
1619544630477,1619544630473379072-59.40
1619544630477,1619544630473379072-20.50
1619544631475,1619544631473379072-58.80
1619544631475,1619544631473379072-19.50
1619544631475,1619544631473379072-21.00
1619544631475,1619544631473379072-63.10
1619544632480,1619544632473379072-21.50
1619544632480,1619544632473379072-65.60
1619544632480,1619544632473379072-56.30
1619544632480,1619544632473379072-20.60
1619544633487,1619544633473379072-77.20
1619544633487,1619544633473379072-20.40
1619544633487,1619544633473379072-22.00
1619544633487,1619544633473379072-63.50
1619544634475,1619544634473379072-62.20
1619544634475,1619544634473379072-22.50
1619544634475,1619544634473379072-23.70
1619544634475,1619544634473379072-76.80
1619544635482,1619544635473379072-84.90
1619544635482,1619544635473379072-68.10
1619544635482,1619544635473379072-23.00
1619544635482,1619544635473379072-22.00
1619544636487,1619544636473379072-24.20
1619544636487,1619544636473379072-81.00
1619544636487,1619544636473379072-24.50
1619544636487,1619544636473379072-73.60
1619544637479,1619544637473379072-72.90
1619544637479,1619544637473379072-26.10
1619544637479,1619544637473379072-24.30
1619544637479,1619544637473379072-89.70
1619544638486,1619544638473379072-25.30
1619544638486,1619544638473379072-76.40
1619544638486,1619544638473379072-22.70
1619544638486,1619544638473379072-93.30
1619544639483,1619544639473379072-78.70
1619544639483,1619544639473379072-19.90
1619544639483,1619544639473379072-24.80
1619544639483,1619544639473379072-74.80
1619544640482,1619544640473379072-17.30
1619544640482,1619544640473379072-59.40
1619544640482,1619544640473379072-74.30
1619544640482,1619544640473379072-22.90
1619544641480,1619544641473379072-50.00
1619544641480,1619544641473379072-61.70
1619544641480,1619544641473379072-19.30
1619544641480,1619544641473379072-20.00
1619544642478,1619544642473379072-20.50
1619544642478,1619544642473379072-59.40
1619544642478,1619544642473379072-19.70
1619544642478,1619544642473379072-55.30
1619544643484,1619544643473379072-19.50
1619544643484,1619544643473379072-63.10
1619544643484,1619544643473379072-58.80
1619544643484,1619544643473379072-21.00
1619544644480,1619544644473379072-56.30
1619544644481,1619544644473379072-65.60
1619544644481,1619544644473379072-21.50
1619544644481,1619544644473379072-20.60
1619544645485,1619544645473379072-20.40
1619544645485,1619544645473379072-63.50
1619544645485,1619544645473379072-77.20
1619544645485,1619544645473379072-22.00
1619544646475,1619544646473379072-22.50
